clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
Gluta-D,32546,0.8072578918871275,0.8122386925123527,0.787930928531924,170632,5928,6902,25644,1,['EBF2'],"['PCSK5', 'CBLN2', 'SST', 'CPNE8', 'EBF2', 'ARHGAP6', 'SLC17A6', 'SYT5', 'C8H11orf87', 'SYNPR']",0.2499617972570998
Gluta-M,5096,0.3833808844507846,0.43997271487039563,0.25313971742543173,202368,1642,3806,1290,3,"['NFIX', 'ADCYAP1', 'SLC17A6']","['NRN1', 'PCP4', 'PLCXD2', 'NFIX', 'ADCYAP1', 'SLC17A6', 'TOX3', 'LMO4', 'TOX', 'LYPD6B']",0.16528106650649152
Gluta-V,17032,0.6211568418463557,0.7634462778687492,0.35585955847815876,190196,1878,10971,6061,3,"['SLC17A6', 'PLS1', 'FGF9']","['NRN1', 'PCP4', 'SLC6A17', 'SLC17A6', 'PLS1', 'FGF9', 'HTR1F', 'ANGPT1', 'STXBP6', 'CDH6']",0.16448137933450724
Lymphocytes,65,0.4827586206896552,0.7,0.2153846153846154,209035,6,51,14,1,['STAT4'],"['ERN1', 'PRKCQ', 'NEDD9', 'STAT4', 'ST3GAL1', 'TOX', 'SCML4', 'PCED1B', 'BCL11B', 'WIPF1']",0.25620306482551813
Macrophages,289,0.2363367799113737,0.32989690721649484,0.11072664359861592,208752,65,257,32,1,['PDGFC'],"['PLXNC1', 'ABCA1', 'ADAM9', 'PDGFC', 'KLF3', 'THSD4', 'IFNAR2', 'SLC18B1', 'EDA', 'SH3PXD2A']",0.13591042207896561
Microglia,20904,0.9130570271112496,0.9519057840691536,0.784921546115576,187373,829,4496,16408,1,['FAM149A'],"['AZIN2', 'FAM149A', 'SIRPA', 'IPCEF1', 'RASGEF1C', 'SCML4', 'PCED1B', 'IKBKB', 'CLCN5', 'ABCC4']",0.23359056604246295
OPC,5868,0.7268696069031639,0.8968576709796673,0.41342876618950236,202959,279,3442,2426,2,"['SPON1', 'ITGA9']","['APOD', 'COL4A3', 'SPON1', 'ITGA9', 'CALCRL', 'TOX', 'SULF2', 'CREB5', 'PTPRZ1', 'PTPRE']",0.17024658729474312
Oligo,48456,0.953393401999292,0.9584383671913064,0.9337336965494469,158688,1962,3211,45245,1,['ST18'],"['PRR5L', 'SPP1', 'TUBB4A', 'ABCA2', 'ST18', 'CNTN2', 'NDRG1', 'MEGF10', 'STMN4', 'RNF220']",0.308228607167201
Schwann,145,0.32751091703056767,0.7142857142857143,0.10344827586206896,208955,6,130,15,1,['LMO7'],"['LMO7', 'PRIMA1', 'B4GALNT3', 'NDRG1', 'PTPRU', 'GLDN', 'SHROOM3', 'PMP22', 'SLC27A6', 'S100B']",0.2248208543466709
Skeletal Motor Neurons,1793,0.8216914526062791,0.899671052631579,0.6101505856107083,207191,122,699,1094,3,"['TMOD1', 'BCL6', 'AHNAK2']","['RET', 'ANXA2', 'TMOD1', 'BCL6', 'HTR2A', 'AHNAK2', 'CHAT', 'SLC5A7', 'TNS1', 'PDGFD']",0.25610582257259684
Vascular,1488,0.6901330376940134,0.939622641509434,0.3346774193548387,207586,32,990,498,1,['THSD4'],"['EPHX1', 'SEMA3C', 'TGFBR3', 'THSD4', 'FOXP2', 'MYH9', 'ARHGAP6', 'TNS1', 'PDZRN3', 'ADAMTSL3']",0.1251282936885703
Visceral Motor Neurons,813,0.6288659793814433,0.7568238213399504,0.3751537515375154,208195,98,508,305,3,"['PRIMA1', 'NOS1', 'SLC5A7']","['GPR149', 'PRIMA1', 'NOS1', 'CHAT', 'SLC5A7', 'TRPC4', 'ADCYAP1', 'STAC', 'NWD2', 'VWA5B1']",0.25885929699309057
